Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Kimberly.P,2022.05.30 08:00:47 EDT,12020,VPN,0,1,172.16.27.236,10.128.20.73,UDP,1194,2801369180,
openvpn-server,Walter.M,2022.05.30 08:22:38 EDT,17399,VPN,0,1,172.22.57.100,10.128.20.36,UDP,1194,3156630974,
openvpn-server,Ann.R,2022.05.30 08:33:36 EDT,,VPN,0,0,172.29.34.87,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kelly.T,2022.05.30 08:52:30 EDT,8139,VPN,0,1,172.20.174.52,10.128.20.2,UDP,1194,1944138513,
openvpn-server,Andrea.N,2022.05.30 09:05:56 EDT,3175,VPN,0,1,172.30.148.10,10.128.20.59,UDP,1194,871143800,
openvpn-server,Logan.D,2022.05.30 09:26:43 EDT,26246,VPN,0,1,172.24.0.55,10.128.20.97,UDP,1194,5506699506,
openvpn-server,Doris.I,2022.05.30 09:42:00 EDT,6254,VPN,0,1,172.25.185.215,10.128.20.75,UDP,1194,86117580,
openvpn-server,Christina.M,2022.05.30 10:16:00 EDT,18081,VPN,0,1,172.25.82.198,10.128.20.28,UDP,1194,1791989829,
openvpn-server,Linda.O,2022.05.30 10:50:05 EDT,24858,VPN,0,1,172.23.110.54,10.128.20.225,UDP,1194,2216239848,
openvpn-server,Jordan.Y,2022.05.30 11:12:21 EDT,9000,VPN,0,1,172.26.51.197,10.128.20.159,UDP,1194,1298664000,
openvpn-server,Bobby.D,2022.05.30 11:49:50 EDT,19950,VPN,0,1,172.22.232.8,10.128.20.237,UDP,1194,2676292500,
openvpn-server,Kimberly.P,2022.05.30 12:21:12 EDT,22384,VPN,0,1,172.31.43.239,10.128.20.63,UDP,1194,3594534640,
openvpn-server,Jerry.N,2022.05.30 12:41:27 EDT,2049,VPN,0,1,172.23.15.219,10.128.20.162,UDP,1194,323840352,
openvpn-server,Juan.Z,2022.05.30 12:56:09 EDT,12017,VPN,0,1,172.31.94.99,10.128.20.238,UDP,1194,439798166,
openvpn-server,Megan.Y,2022.05.30 13:16:55 EDT,19602,VPN,0,1,172.25.238.215,10.128.20.152,UDP,1194,680150196,
openvpn-server,Kelly.T,2022.05.30 13:34:41 EDT,2811,VPN,0,1,172.28.122.124,10.128.20.179,UDP,1194,155080059,
openvpn-server,Jordan.Y,2022.05.30 13:50:36 EDT,11050,VPN,0,1,172.27.203.181,10.128.20.213,UDP,1194,1618095700,
openvpn-server,Beverly.T,2022.05.30 14:02:40 EDT,7381,VPN,0,1,172.17.11.50,10.128.20.109,UDP,1194,309618188,
openvpn-server,Douglas.O,2022.05.30 14:35:35 EDT,,VPN,0,0,172.20.51.141,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Andrea.N,2022.05.30 15:14:49 EDT,7370,VPN,0,1,172.25.7.233,10.128.20.117,UDP,1194,598259750,
openvpn-server,Kenneth.Y,2022.05.30 15:41:41 EDT,13727,VPN,0,1,172.29.27.72,10.128.20.138,UDP,1194,1025049998,
openvpn-server,Edward.J,2022.05.30 16:20:25 EDT,4994,VPN,0,1,172.23.141.197,10.128.20.53,UDP,1194,568092470,
openvpn-server,Walter.M,2022.05.30 16:52:49 EDT,3961,VPN,0,1,172.19.114.84,10.128.20.43,UDP,1194,793796283,
openvpn-server,Dennis.H,2022.05.30 17:12:44 EDT,1323,VPN,0,1,172.23.5.125,10.128.20.253,UDP,1194,45576027,
openvpn-server,Kelly.T,2022.05.30 17:48:10 EDT,4013,VPN,0,1,172.24.46.224,10.128.20.204,UDP,1194,1041136733,
openvpn-server,Logan.D,2022.05.30 18:00:28 EDT,4886,VPN,0,1,172.20.239.30,10.128.20.163,UDP,1194,591440528,
openvpn-server,Bobby.D,2022.05.30 18:16:49 EDT,7692,VPN,0,1,172.31.44.198,10.128.20.161,UDP,1194,1331523660,
openvpn-server,Alexis.O,2022.05.30 18:29:22 EDT,2337,VPN,0,1,172.21.28.27,10.128.20.29,UDP,1194,12030876,
openvpn-server,Edward.J,2022.05.31 07:11:07 EDT,34407,VPN,0,1,172.26.199.17,10.128.20.41,UDP,1194,5099943168,
openvpn-server,Pamela.C,2022.05.31 07:35:52 EDT,11221,VPN,0,1,172.21.32.202,10.128.20.17,UDP,1194,151663036,
openvpn-server,Jordan.Y,2022.05.31 07:59:30 EDT,11726,VPN,0,1,172.23.37.230,10.128.20.53,UDP,1194,2163282836,
openvpn-server,Kelly.T,2022.05.31 08:16:42 EDT,35753,VPN,0,1,172.27.75.175,10.128.20.73,UDP,1194,3217019187,
openvpn-server,Ann.R,2022.05.31 08:28:26 EDT,14865,VPN,0,1,172.18.5.139,10.128.20.205,UDP,1194,1772532330,
openvpn-server,Doris.I,2022.05.31 08:58:25 EDT,9158,VPN,0,1,172.22.183.55,10.128.20.54,UDP,1194,1216301454,
openvpn-server,Bobby.D,2022.05.31 09:13:59 EDT,32653,VPN,0,1,172.29.206.163,10.128.20.157,UDP,1194,7170598800,
openvpn-server,Kenneth.Y,2022.05.31 09:24:33 EDT,17114,VPN,0,1,172.31.68.51,10.128.20.118,UDP,1194,1930955506,
openvpn-server,Logan.D,2022.05.31 10:04:06 EDT,9487,VPN,0,1,172.20.88.45,10.128.20.184,UDP,1194,1316700730,
openvpn-server,Megan.Y,2022.05.31 10:23:14 EDT,5925,VPN,0,1,172.16.112.210,10.128.20.179,UDP,1194,908349900,
openvpn-server,Dennis.H,2022.05.31 11:01:33 EDT,5971,VPN,0,1,172.21.66.55,10.128.20.98,UDP,1194,701461138,
openvpn-server,Juan.Z,2022.05.31 11:12:30 EDT,9163,VPN,0,1,172.20.102.172,10.128.20.58,UDP,1194,381153311,
openvpn-server,Jordan.Y,2022.05.31 11:41:48 EDT,11601,VPN,0,1,172.18.201.148,10.128.20.227,UDP,1194,1522515240,
openvpn-server,Marie.U,2022.05.31 12:12:26 EDT,12777,VPN,0,1,172.18.115.17,10.128.20.111,UDP,1194,3106931982,
openvpn-server,Doris.I,2022.05.31 12:34:06 EDT,21989,VPN,0,1,172.22.137.16,10.128.20.202,UDP,1194,5615770710,
openvpn-server,Deborah.Q,2022.05.31 12:55:14 EDT,9986,VPN,0,1,172.20.171.126,10.128.20.209,UDP,1194,1467262952,
openvpn-server,Jerry.N,2022.05.31 13:11:44 EDT,11930,VPN,0,1,172.28.192.44,10.128.20.186,UDP,1194,1649071970,
openvpn-server,Linda.O,2022.05.31 13:46:43 EDT,,VPN,0,0,172.17.13.137,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kenneth.Y,2022.05.31 14:11:56 EDT,17834,VPN,0,1,172.19.193.25,10.128.20.174,UDP,1194,3873419962,
openvpn-server,Dennis.H,2022.05.31 14:40:30 EDT,15204,VPN,0,1,172.20.184.179,10.128.20.24,UDP,1194,43118544,
openvpn-server,Megan.Y,2022.05.31 14:59:18 EDT,2576,VPN,0,1,172.25.217.221,10.128.20.143,UDP,1194,175799120,
openvpn-server,Ann.R,2022.05.31 15:13:26 EDT,4724,VPN,0,1,172.29.21.90,10.128.20.210,UDP,1194,1214979732,
openvpn-server,Linda.O,2022.05.31 15:51:23 EDT,3930,VPN,0,1,172.18.153.162,10.128.20.68,UDP,1194,43776270,
openvpn-server,Alexis.O,2022.05.31 16:16:33 EDT,,VPN,0,0,172.17.177.165,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jordan.Y,2022.05.31 16:42:51 EDT,9545,VPN,0,1,172.19.184.205,10.128.20.88,UDP,1194,2358445415,
openvpn-server,Linda.O,2022.05.31 17:17:50 EDT,4197,VPN,0,1,172.25.126.72,10.128.20.72,UDP,1194,183413097,
openvpn-server,Walter.M,2022.05.31 17:48:07 EDT,4144,VPN,0,1,172.17.90.202,10.128.20.85,UDP,1194,155710800,
openvpn-server,Kelly.T,2022.05.31 18:23:09 EDT,,VPN,0,0,172.24.46.49,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Douglas.O,2022.05.31 18:38:54 EDT,2737,VPN,0,1,172.27.102.152,10.128.20.185,UDP,1194,84400869,
openvpn-server,Alexis.O,2022.06.01 07:04:06 EDT,,VPN,0,0,172.17.51.196,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Marie.U,2022.06.01 07:31:04 EDT,32103,VPN,0,1,172.27.88.12,10.128.20.232,UDP,1194,5086110393,
openvpn-server,Edward.J,2022.06.01 08:00:47 EDT,29490,VPN,0,1,172.17.246.173,10.128.20.217,UDP,1194,3800848140,
openvpn-server,Pamela.C,2022.06.01 08:17:27 EDT,18832,VPN,0,1,172.17.117.166,10.128.20.56,UDP,1194,4761087408,
openvpn-server,Deborah.Q,2022.06.01 08:29:31 EDT,13254,VPN,0,1,172.26.44.147,10.128.20.103,UDP,1194,1076953770,
openvpn-server,Frank.R,2022.06.01 09:05:18 EDT,10725,VPN,0,1,172.30.175.199,10.128.20.37,UDP,1194,2873281125,
openvpn-server,Christina.M,2022.06.01 09:41:37 EDT,9864,VPN,0,1,172.28.92.81,10.128.20.31,UDP,1194,678376872,
openvpn-server,Judy.A,2022.06.01 10:35:01 EDT,18597,VPN,0,1,172.22.197.6,10.128.20.45,UDP,1194,1598096001,
openvpn-server,Jerry.N,2022.06.01 11:01:03 EDT,27055,VPN,0,1,172.23.78.222,10.128.20.18,UDP,1194,1755247235,
openvpn-server,Dennis.H,2022.06.01 11:31:36 EDT,20977,VPN,0,1,172.19.110.75,10.128.20.109,UDP,1194,3726501119,
openvpn-server,Judy.A,2022.06.01 11:54:32 EDT,24252,VPN,0,1,172.29.245.14,10.128.20.89,UDP,1194,6039912096,
openvpn-server,Frank.R,2022.06.01 12:32:22 EDT,23137,VPN,0,1,172.31.211.186,10.128.20.58,UDP,1194,1747560747,
openvpn-server,Alexis.O,2022.06.01 12:59:42 EDT,8773,VPN,0,1,172.17.60.68,10.128.20.193,UDP,1194,806510663,
openvpn-server,Andrea.N,2022.06.01 13:17:09 EDT,7584,VPN,0,1,172.23.66.140,10.128.20.108,UDP,1194,1480381632,
openvpn-server,Jonathan.T,2022.06.01 13:35:26 EDT,,VPN,0,0,172.30.219.181,,UDP,1194,,user not found
openvpn-server,Megan.Y,2022.06.01 13:54:48 EDT,16657,VPN,0,1,172.17.143.106,10.128.20.174,UDP,1194,2156465191,
openvpn-server,Logan.D,2022.06.01 14:25:47 EDT,1790,VPN,0,1,172.19.255.213,10.128.20.125,UDP,1194,472653080,
openvpn-server,Timothy.G,2022.06.01 14:55:07 EDT,,VPN,0,0,172.23.129.173,,UDP,1194,,user not found
openvpn-server,Julie.Q,2022.06.01 15:19:11 EDT,,VPN,0,0,172.18.6.20,,UDP,1194,,user not found
openvpn-server,Beverly.T,2022.06.01 15:32:48 EDT,13292,VPN,0,1,172.21.58.181,10.128.20.19,UDP,1194,2958865660,
openvpn-server,Walter.M,2022.06.01 16:12:47 EDT,10458,VPN,0,1,172.21.243.217,10.128.20.84,UDP,1194,2307139380,
openvpn-server,Deborah.Q,2022.06.01 16:30:57 EDT,3509,VPN,0,1,172.29.124.150,10.128.20.108,UDP,1194,924319726,
openvpn-server,Doris.I,2022.06.01 17:04:30 EDT,3796,VPN,0,1,172.22.119.245,10.128.20.212,UDP,1194,174141500,
openvpn-server,Pamela.C,2022.06.01 17:43:52 EDT,3194,VPN,0,1,172.17.76.109,10.128.20.170,UDP,1194,33926668,
openvpn-server,Kimberly.P,2022.06.01 18:22:34 EDT,2665,VPN,0,1,172.23.153.184,10.128.20.245,UDP,1194,371287800,
openvpn-server,Ann.R,2022.06.01 18:47:04 EDT,5191,VPN,0,1,172.27.166.184,10.128.20.26,UDP,1194,1050933523,
openvpn-server,Beverly.T,2022.06.02 07:24:14 EDT,8767,VPN,0,1,172.29.105.182,10.128.20.18,UDP,1194,2081618946,
openvpn-server,Doris.I,2022.06.02 07:48:30 EDT,13264,VPN,0,1,172.27.116.9,10.128.20.170,UDP,1194,133422576,
openvpn-server,Logan.D,2022.06.02 08:11:54 EDT,,VPN,0,0,172.27.127.136,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Dennis.H,2022.06.02 08:51:02 EDT,33129,VPN,0,1,172.22.198.43,10.128.20.139,UDP,1194,8644880034,
openvpn-server,Logan.D,2022.06.02 09:20:00 EDT,15373,VPN,0,1,172.22.134.26,10.128.20.61,UDP,1194,2339955076,
openvpn-server,Andrea.N,2022.06.02 09:55:46 EDT,6198,VPN,0,1,172.19.154.134,10.128.20.7,UDP,1194,164606484,
openvpn-server,Kimberly.P,2022.06.02 10:09:40 EDT,19091,VPN,0,1,172.28.130.37,10.128.20.231,UDP,1194,5028703037,
openvpn-server,Ryan.G,2022.06.02 10:44:46 EDT,15799,VPN,0,1,172.27.56.131,10.128.20.227,UDP,1194,3902747975,
openvpn-server,Marie.U,2022.06.02 11:03:26 EDT,,VPN,0,0,172.26.59.221,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Matthew.G,2022.06.02 11:29:12 EDT,,VPN,0,0,172.27.20.249,,UDP,1194,,user not found
openvpn-server,Beverly.T,2022.06.02 11:44:07 EDT,1489,VPN,0,1,172.27.69.189,10.128.20.206,UDP,1194,185183952,
openvpn-server,Kenneth.Y,2022.06.02 12:23:40 EDT,12211,VPN,0,1,172.20.15.5,10.128.20.106,UDP,1194,262805142,
openvpn-server,Doris.I,2022.06.02 12:37:01 EDT,17416,VPN,0,1,172.21.24.238,10.128.20.14,UDP,1194,212492616,
openvpn-server,Cheryl.S,2022.06.02 13:11:36 EDT,,VPN,0,0,172.20.230.27,,UDP,1194,,user not found
openvpn-server,Linda.O,2022.06.02 13:43:02 EDT,20697,VPN,0,1,172.31.152.241,10.128.20.138,UDP,1194,2969274408,
openvpn-server,Douglas.O,2022.06.02 13:57:58 EDT,9007,VPN,0,1,172.31.142.248,10.128.20.44,UDP,1194,1510239718,
openvpn-server,Andrea.N,2022.06.02 14:33:59 EDT,,VPN,0,0,172.21.144.155,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.D,2022.06.02 15:07:14 EDT,7985,VPN,0,1,172.25.227.84,10.128.20.94,UDP,1194,1446386930,
openvpn-server,Alexis.O,2022.06.02 15:46:49 EDT,8487,VPN,0,1,172.30.83.114,10.128.20.142,UDP,1194,1251340254,
openvpn-server,Bobby.D,2022.06.02 16:22:11 EDT,9550,VPN,0,1,172.16.15.219,10.128.20.120,UDP,1194,1762834500,
openvpn-server,Ryan.G,2022.06.02 16:42:40 EDT,6786,VPN,0,1,172.29.77.160,10.128.20.200,UDP,1194,367740126,
openvpn-server,Walter.M,2022.06.02 16:57:48 EDT,8594,VPN,0,1,172.22.143.229,10.128.20.55,UDP,1194,1381855042,
openvpn-server,Thomas.K,2022.06.02 17:14:09 EDT,,VPN,0,0,172.28.193.129,,UDP,1194,,user not found
openvpn-server,Jerry.N,2022.06.02 17:45:33 EDT,1645,VPN,0,1,172.29.82.7,10.128.20.243,UDP,1194,131771080,
openvpn-server,Edward.J,2022.06.02 18:15:49 EDT,7042,VPN,0,1,172.27.205.38,10.128.20.66,UDP,1194,292348630,
openvpn-server,Doris.I,2022.06.02 18:32:21 EDT,5828,VPN,0,1,172.16.45.19,10.128.20.253,UDP,1194,971644160,
openvpn-server,Frank.R,2022.06.02 18:47:25 EDT,,VPN,0,0,172.22.197.86,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jordan.Y,2022.06.03 07:08:04 EDT,38128,VPN,0,1,172.30.192.246,10.128.20.191,UDP,1194,6756739136,
openvpn-server,Alexis.O,2022.06.03 07:45:33 EDT,31513,VPN,0,1,172.20.231.141,10.128.20.219,UDP,1194,2061706512,
openvpn-server,Kimberly.P,2022.06.03 08:21:30 EDT,,VPN,0,0,172.31.179.168,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.D,2022.06.03 08:52:51 EDT,6791,VPN,0,1,172.24.85.139,10.128.20.95,UDP,1194,1827030267,
openvpn-server,Christina.M,2022.06.03 09:03:30 EDT,23862,VPN,0,1,172.21.196.151,10.128.20.73,UDP,1194,4058520546,
openvpn-server,Marie.U,2022.06.03 09:40:58 EDT,3840,VPN,0,1,172.29.13.58,10.128.20.164,UDP,1194,882190080,
openvpn-server,Andrea.N,2022.06.03 10:11:10 EDT,11118,VPN,0,1,172.21.207.201,10.128.20.235,UDP,1194,2646406422,
openvpn-server,Megan.Y,2022.06.03 10:28:19 EDT,6930,VPN,0,1,172.17.76.76,10.128.20.100,UDP,1194,626555160,
openvpn-server,Kenneth.Y,2022.06.03 10:56:34 EDT,26587,VPN,0,1,172.30.62.179,10.128.20.226,UDP,1194,5172075458,
openvpn-server,Ryan.G,2022.06.03 11:32:08 EDT,17309,VPN,0,1,172.16.239.148,10.128.20.75,UDP,1194,423776247,
openvpn-server,Ann.R,2022.06.03 11:53:09 EDT,22373,VPN,0,1,172.24.154.56,10.128.20.189,UDP,1194,2264706925,
openvpn-server,Dennis.H,2022.06.03 12:22:57 EDT,,VPN,0,0,172.31.145.117,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kelly.T,2022.06.03 12:38:06 EDT,6527,VPN,0,1,172.20.213.147,10.128.20.111,UDP,1194,1131083411,
openvpn-server,Juan.Z,2022.06.03 12:51:37 EDT,10770,VPN,0,1,172.29.189.161,10.128.20.19,UDP,1194,1516523700,
openvpn-server,Logan.D,2022.06.03 13:14:24 EDT,,VPN,0,0,172.27.88.201,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.D,2022.06.03 13:39:32 EDT,10306,VPN,0,1,172.16.0.186,10.128.20.161,UDP,1194,500129568,
openvpn-server,Frank.R,2022.06.03 14:10:53 EDT,10939,VPN,0,1,172.29.40.250,10.128.20.39,UDP,1194,2675701278,
openvpn-server,Willie.C,2022.06.03 14:22:44 EDT,,VPN,0,0,172.19.227.241,,UDP,1194,,user not found
openvpn-server,Marie.U,2022.06.03 14:53:47 EDT,3394,VPN,0,1,172.17.139.187,10.128.20.186,UDP,1194,103377846,
openvpn-server,Andrea.N,2022.06.03 15:20:18 EDT,10318,VPN,0,1,172.29.125.249,10.128.20.100,UDP,1194,736622656,
openvpn-server,Walter.M,2022.06.03 15:32:34 EDT,7046,VPN,0,1,172.28.101.80,10.128.20.20,UDP,1194,573149824,
openvpn-server,Dennis.H,2022.06.03 16:00:51 EDT,8412,VPN,0,1,172.30.240.221,10.128.20.229,UDP,1194,261444960,
openvpn-server,Alexis.O,2022.06.03 16:38:48 EDT,3768,VPN,0,1,172.29.175.136,10.128.20.104,UDP,1194,309462072,
openvpn-server,Jerry.N,2022.06.03 16:58:24 EDT,8693,VPN,0,1,172.27.93.102,10.128.20.48,UDP,1194,672325313,
openvpn-server,Samuel.W,2022.06.03 17:12:44 EDT,,VPN,0,0,172.24.199.140,,UDP,1194,,user not found
openvpn-server,Sarah.F,2022.06.03 17:38:50 EDT,,VPN,0,0,172.28.198.75,,UDP,1194,,user not found
openvpn-server,Ann.R,2022.06.03 18:14:42 EDT,4462,VPN,0,1,172.22.82.65,10.128.20.242,UDP,1194,602066584,
openvpn-server,Kenneth.Y,2022.06.03 18:36:22 EDT,5648,VPN,0,1,172.19.38.73,10.128.20.165,UDP,1194,899150304,
openvpn-server,Christina.M,2022.06.03 18:56:07 EDT,5531,VPN,0,1,172.17.159.179,10.128.20.36,UDP,1194,579847916,
